Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
SAYIN:,,,,,,,,,,
ADRES:,,,,,,,,,,
TARİH:,,,,,,,,,,
KIRIM İŞLERİ,,,,,,,,,,
,,,,,,,,,,
İŞLEM,,AÇIKLAMA,,,,ADET - m²,,BİRİM FİYAT,,TOPLAM
,,,,,,,,,,
SERAMİKLERİN KIRILMASI,,,,,,,,0,,0
PARKELERİN SÖKÜLMESİ,,,,,,,,0,,0
DOLAPLARIN SÖKÜLMESİ,,,,,,,,0,,0
DEMİR KAPI KASALARININ SÖKÜLMESİ,,,,,,,,0,,0
BALKON DUVARI KIRILMASI,,,,,,,,0,,0
MUTFAK GİRİŞ DUVARI KIRILMASI,,,,,,,,0,,0
ŞAPIN KALDIRILMASI,,,,,,,,0,,0
ŞAP ATILMASI,,,,,,,,0,,0
,,,,,,Toplam:,,0,,
DUVAR İŞLERİ,,,,,,,,,,
,,,,,,,,,,
İŞLEM,,AÇIKLAMA,,,,ADET - m²,,BİRİM FİYAT,,TOPLAM
,,,,,,,,,,
DUVAR ÖRÜLMESİ,,,,,,,,0,,0
MANTOLAMA YAPILMASI,,,,,,,,0,,0
DEKORATİF SIVA UYGULAMASI,,,,,,,,0,,0
,,,,,,Toplam:,,0,,
YAPI İŞLERİ,,,,,,,,,,
,,,,,,,,,,
İŞLEM,,AÇIKLAMA,,,,ADET - m²,,BİRİM FİYAT,,TOPLAM
,,,,,,,,,,
TEMİZ SU TESİSATININ PROJEYE UYGUN YENİLENMESİ,,,,,,,,0,,0
,,,,,,,,,,
PİS SU TESİSATININ PROJEYE UYGUN YENİLENMESİ,,,,,,,,0,,0
,,,,,,,,,,
KALORİFER TESİSATININ PROJEYE UYGUN YENİLENMESİ,,,,,,,,0,,0
,,,,,,,,,,
ELEKTRİK TESİSATININ PROJEYE UYGUN HAZIRLANMASI,,,,,,,,0,,0
,,,,,,,,,,
MEVCUT ÖLÇÜLERE GÖRE ALÜMİNYUM PETEK DEĞİŞİMİ,,,,,,,,0,,0
,,,,,,,,,,
ALÜMİNYUM HAVLUPAN DEĞİŞİMİ,,,,,,,,0,,0
,,,,,,,,,,
DOĞALGAZ TESİSATININ PROJEYE UYGUN YENİLENMESİ,,,,,,,,0,,0
,,,,,,,,,,
DOĞALGAZ PROJELENDİRME VE GAZ AÇIMI,,,,,,,,0,,0
,,,,,,,,,,
ANAHTAR PRİZ DEĞİŞİMİ,,,,,,,,0,,0
,,,,,,,,,,
RADYATÖR DEĞİŞİMİ,,,,,,,,0,,0
,,,,,,,,,,
KOMBİ DEĞİŞİMİ,,,,,,,,0,,0
,,,,,,,,,,
KAMERA SİSTEMİ KURULUMU,,,,,,,,0,,0
,,,,,,,,,,
ANKASTRE SES SİSTEMİ,,,,,,,,0,,0
,,,,,,,,,,
FERFORJE KORKULUK,,,,,,,,0,,0
,,,,,,,,,,
,,,,,,Toplam:,,0,,
,,,,,,,,,,
ALÇI-SIVA-BOYA,,,,,,,,,,
,,,,,,,,,,
İŞLEM,,AÇIKLAMA,,,,ADET - m²,,BİRİM FİYAT,,TOPLAM
,,,,,,,,,,
SALON ALÇIPAN GİZLİ IŞIK BANDI,,,,,,,,0,,0
,,,,,,,,,,
MUTFAK ALÇIPAN GİZLİ IŞIK BANDI,,,,,,,,0,,0
,,,,,,,,,,
ANTRE ALÇIPAN GİZLİ IŞIK BANDI,,,,,,,,0,,0
,,,,,,,,,,
HOL ALÇIPAN GİZLİ IŞIK BANDI,,,,,,,,0,,0
,,,,,,,,,,
OTURMA ODASI ALÇIPAN GİZLİ IŞIK BANDI,,,,,,,,0,,0
,,,,,,,,,,
ÇOCUK ODASI ALÇIPAN GİZLİ IŞIK BANDI,,,,,,,,0,,0
,,,,,,,,,,
